,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,"CASE_SUM"
278,"HANWELLA",95,"Hanwella",9,10,13,6,2,9,0,11,8,7,1,4,8,5,1,1,1,9,6,4,0,0,5,14,3,7,7,3,2,3,1,2,2,3,2,6,1,2,0,1,0,1,2,1,1,0,2,2,2,3,2,8,203
149,"Haputhale",96,"Haputale",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,2,1,0,1,0,1,0,0,0,2,0,1,2,0,0,0,0,5,25
84,,,"Hasalaka(M",0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,2,0,1,1,1,0,25
282,"HATHARALIYADDA",98,"Hataraliyadda",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,15
42,"HIKKADUWA",99,"Hikkaduwa",1,6,2,1,3,0,1,8,2,5,0,0,4,1,0,4,2,7,0,0,1,1,1,0,2,0,1,1,1,1,4,0,3,0,1,1,0,1,5,3,1,0,1,1,0,5,1,0,2,4,3,1,93
190,"HINGURAKGODA",100,"Hingurakgoda",1,1,0,8,5,4,3,5,2,1,4,1,4,5,0,8,4,2,5,0,1,3,0,2,1,1,0,4,3,5,7,2,4,5,0,1,2,1,0,0,5,2,7,0,2,6,6,0,3,5,3,0,144
101,"HOMAGAMA",101,"Homagama",6,6,10,4,3,7,5,14,0,17,2,14,3,7,8,1,4,4,6,11,5,5,2,2,3,4,8,6,8,1,13,8,11,9,7,11,8,2,7,0,12,2,6,2,7,6,15,5,11,15,14,2,349
163,"HORANA",102,"Horana",1,0,1,3,1,0,2,5,1,1,0,2,1,4,1,0,4,3,0,1,1,0,2,0,4,0,1,5,0,1,3,4,4,1,2,2,0,0,0,0,2,2,1,1,1,2,4,3,3,1,3,0,84
102,"HOROWPOTHANA",103,"Horowpatha",0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,13
276,"Ibbagamuwa",104,"Ibbagamuwa",9,8,8,5,6,9,3,5,2,3,0,3,0,5,0,2,0,2,1,0,1,2,1,1,4,1,1,3,0,1,2,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,1,3,4,3,1,2,108
76,"IMADUWA",105,"Imaduwa",0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,16
